#xor_srcip xor_dstip xor_prot xor_srcport xor_dstport flowcnt pktcnt
2094637413 3397690924 17 70 8972 1 1
1912545186 979551979 6 1440 17285 3 4
2873347401 20835535 23 116 26542 2 2
2894077250 3885368334 23 184 5446 2 2
3123586069 35088 0 2039 3922 2 15
2831159584 208404931 0 1163 24430 6 7
2791964955 3778260563 23 873 52516 2 2
1903141694 1936542786 17 1184 48157 5 459
2727643454 289199922 0 1524 949 6 6
3524874992 3687050633 17 587 42820 5 5
2718698325 3910171848 0 198 10255 4 12
1988692682 3410827265 6 62 1268 1 1
2691132919 1945 0 50 7323 2 2
0 0 0 0 0 0 0
124947861 130605422 0 36 19134 2 2
1066204777 878228885 6 228 25908 5 43
489995993 522106427 0 42 59327 6 29
3669823618 2500877035 17 863 34045 5 2237
2696755700 1092064432 23 131 1882 2 2
3197032618 1225772357 23 1245 53143 6 6
3641677775 3679544825 6 1462 6148 3 3
3668853495 3615626791 17 1892 30127 5 43
1912561057 1025382376 6 63 32437 3 3
2098929822 2122046431 17 1289 15486 3 20
1910317925 2345595299 6 626 41407 7 20
2783875447 2949407159 0 1088 61668 4 4
71422936 3082161441 23 437 14750 4 6
3715312624 2135250440 17 1655 20109 5 5
1991196218 2080935096 17 314 1175 1 1
2812786410 95869285 23 0 24587 4 18
2124052203 3397654509 17 910 55552 3 163
157641 210546211 0 297 9391 2 2
2861503152 3885025154 0 68 33197 4 7
2053839609 1995865460 6 1419 5672 3 21
1991061584 2579538999 6 140 47216 3 3
107736 140438 0 0 52542 2 2
3419590088 1947302795 17 34 32240 3 6
2690917960 92166 0 1502 62550 2 60
196366994 2693926332 23 131 5515 2 2
125048601 15966830 23 83 29014 2 2
2805293908 259898903 0 209 10419 4 4
2886273332 18040879 0 1113 15183 6 14
2074458089 3746451601 6 129 33847 5 8
122840571 2819063480 23 126 6122 2 2
2690953047 29602 0 1512 6154 2 3
220849989 184454390 23 392 4498 6 74
3715922745 3491036066 17 1119 8814 3 3
2894269307 1279229900 0 647 40329 4 4
2783515232 2803948335 23 209 37570 4 4
1991036967 911514229 17 416 27412 3 3
3721277835 3598449433 6 290 45661 3 5
2894324828 125615431 0 0 10629 2 2
183041996 96139258 0 2 10560 2 2
196464009 130568654 23 508 20167 4 21
3417878616 1934796612 17 158 30857 3 3
3716054845 3734869947 6 1410 30638 3 3
2747697923 1177440073 0 1162 37602 4 4
2826126661 3049075406 0 1681 26889 4 4
183425442 2694125416 23 1466 35037 2 4
2054706736 2092772440 17 387 8890 5 5
